nameOfPlace,lat,lng,avg_rate_of_place,avg_hours_of_place,avg_ages_of_place,count_of_post_added_to_place
Sporthal Laan van Spartaan,52.37264206,4.840572716,0,0,0,0
Wild FM,52.36994,4.836519,0,0,0,0
Kleine Nachtwacht,52.363383,4.836514,0,0,0,0
Dihoo's Farm,52.368161,4.843577,0,0,0,0
Edelwise Festival,52.36591937,4.846347035,0,0,0,0
kinderboerderij Uylenburg,52.36748099,4.845077991,0,0,0,0
Health Club Open Air Rembrandpark,52.36806338,4.844173654,0,0,0,0
Kinderboerderij Rembrandtpark,52.367573,4.844715,0,0,0,0
Universal screeningroom,52.35530661,4.839708209,0,0,0,0
Koningin Wilhelminapark,52.35382238,4.838018417,0,0,0,0
Sport 1,52.35552614,4.838711379,0,0,0,0
Schilderatelier Hans Verwoerd,52.353455,4.840656,0,0,0,0
Jan Tooropstraat,52.36184825,4.836387538,0,0,0,0
Monique's Peespaleis,52.35389295,4.836344883,0,0,0,0
Zondagmiddag bij Vlla,52.3635608,4.835095533,0,0,0,0
Cinema di Noche Woche,52.36131996,4.843205888,0,0,0,0
Office Robert,52.353234,4.841107,0,0,0,0
Ghettocrib Steyn,52.3490448,4.837065697,0,0,0,0
health city,52.35436134,4.842080961,0,0,0,0
"Tuinpark ""Ons Buiten""",52.33660842,4.838111468,0,0,0,0
Alda Events,52.34219,4.843164,0,0,0,0
Eyeworks,52.340708,4.842949,0,0,0,0
AT5 Redactie,52.34614715,4.830572304,0,0,0,0
Fjuze,52.3427781,4.841962048,0,0,0,0
basketballen tijdens nachtdienst,52.34738642,4.841448661,0,0,0,0
KNVB West I,52.34340943,4.83828858,0,0,0,0
De Staalman (kunstwerk beer),52.34889732,4.83292222,0,0,0,0
Nargilehut,52.3459201,4.838782904,0,0,0,0
Schinkelsluisje,52.34360986,4.841011754,0,0,0,0
Moestuintje,52.34801141,4.839796787,0,0,0,0
KX Radio,52.34043547,4.842864726,0,0,0,0
Ravelina am See,52.33508805,4.82164672,0,0,0,0
Allure @ Riekerplas,52.33256591,4.832067728,0,0,0,0
"P.D.C. ""De Volharding""",52.340838,4.832244,0,0,0,0
"Heineken, Apple Pie and Tabs Bar",52.337497,4.839399,0,0,0,0
Sara's Place,52.328227,4.835746,0,0,0,0
atelier pipa,52.342652,4.820393,0,0,0,0
Jachthaven Helmsman,52.32822461,4.816388678,0,0,0,0
Disco classic party,52.33716555,4.842381469,0,0,0,0
Jachthaven Driessen,52.328168,4.81653,0,0,0,0
TMZ 2.0,52.34601401,4.826060236,0,0,0,0
Dogsquare,52.342601,4.811766,0,0,0,0
EffeEkdom,52.34234375,4.811790024,0,0,0,0
Sneeuw,52.39871831,4.847301318,0,0,0,0
twellingae,52.39168143,4.845471661,0,0,0,0
Dog Run Adam,52.39026348,4.843102174,0,0,0,0
Actimel NK Doordeplassenfietsen,52.38955959,4.838609154,0,0,0,0
Chartist CoffeStop,52.38802131,4.837636224,0,0,0,0
Hondenschool Serius,52.38565515,4.8329923,0,0,0,0
Zone Festival,52.385643,4.832129,0,0,0,0
Spaarndammerdijkie 💙,52.388104,4.84679,0,0,0,0
Baseball Amsterdam,52.3849309,4.847781953,0,0,0,0
420 In Amsterdam,52.38534504,4.846993179,0,0,0,0
Avv Sloterdijk,52.38406037,4.842536014,0,0,0,0
Lebensgefahr T3chno,52.387021,4.843705,0,0,0,0
Een Park,52.38054439,4.848244865,0,0,0,0
Biljartcentrum Sloterdijk,52.38380273,4.846200682,0,0,0,0
Mercatorbad,52.37162472,4.846292517,0,0,0,0
Op de bank bij GvZ,52.372824,4.849388,0,0,0,0
YagoY,52.36429283,4.853038788,0,0,0,0
West'ival,52.36969746,4.851139059,0,0,0,0
Coffeeshop Happiness,52.36981246,4.849373162,0,0,0,0
Saskia Van Uijlenburgkade,52.35628658,4.845623748,0,0,0,0
Andreas Ensemble,52.35631498,4.845700418,0,0,0,0
Westlandgracht,52.35485775,4.844766855,0,0,0,0
Rembrantpark,52.35822042,4.848587428,0,0,0,0
Schildpadvijver Rembrandtpark,52.35815519,4.848161345,0,0,0,0
Bootcamp@Rembrandtpark by Healthclub OpenAir,52.36599795,4.841640953,0,0,0,0
Sauna Ramada Apollo,52.36793968,4.844692698,0,0,0,0
Buurtmoestuin,52.348268,4.84655,0,0,0,0
TBWA\ Bar,52.34275844,4.846219416,0,0,0,0
The Magpie,52.349481,4.848898,0,0,0,0
Theophile De Bockstraat Cows,52.35483997,4.850727954,0,0,0,0
Jaagpad,52.34405292,4.848563808,0,0,0,0
Atelier De Generaal,52.343592,4.846923,0,0,0,0
Zonneterras Joy Jaagpad,52.338506,4.845263,0,0,0,0
't Huis te Vraag,52.34692349,4.848971724,0,0,0,0
Jachthaven De Koene,52.334809,4.849589,0,0,0,0
Jachthaven Meerzicht,52.33293269,4.850253813,0,0,0,0
Het Bosch,52.3355652,4.848360368,0,0,0,0
Jachthaven (marina) De Koenen,52.330726,4.844074845,0,0,0,0
WV De Koenen,52.33471513,4.849594831,0,0,0,0
Jachthaven Wva,52.33658257,4.848489127,0,0,0,0
Jazz At The Lake,52.3354483,4.848061482,0,0,0,0
Davy & Orsted,52.33297169,4.84903668,0,0,0,0
Het Trefpunt,52.33815147,4.848830253,0,0,0,0
Meervaart,52.33310026,4.850850972,0,0,0,0
Cruise & Dance - Dj Boot(h),52.332248,4.846285,0,0,0,0
Spa Zuiver Tennis,52.33111855,4.850914478,0,0,0,0
Watersportvereniging amsterdam,52.33622,4.84897,0,0,0,0
Haven Amsterdam,52.40857123,4.858658514,0,0,0,0
Moves! Dance Warehouse,52.393954,4.850965,0,0,0,0
GZG Feest,52.393989,4.85198,0,0,0,0
29e Shortrally Amsterdam,52.39512784,4.85525781,0,0,0,0
In de zon sloterdijk,52.39179979,4.852244188,0,0,0,0
Dimi's dome,52.38819796,4.840302405,0,0,0,0
Wots Plees,52.388301,4.838878,0,0,0,0
Studio Westpoort,52.391657,4.852836,0,0,0,0
De Twee Sneetjes,52.391654,4.852702,0,0,0,0
Het Bos en Lommerse Balkon,52.38451505,4.847835458,0,0,0,0
The Bar,52.38587055,4.847029537,0,0,0,0
Tuinpark Nut & Genoegen,52.38864439,4.855527878,0,0,0,0
De keukentafel,52.3843,4.847992,0,0,0,0
Dakterras B&L,52.384524,4.848093,0,0,0,0
De Kuil,52.382263,4.852583,0,0,0,0
The Mansion,52.379533,4.853758,0,0,0,0
Another Something & Co.,52.383101,4.858596,0,0,0,0
De Fluiter,52.37926945,4.856764982,0,0,0,0
't Binnepretje,52.38157216,4.856386185,0,0,0,0
Chicarica Producties,52.38165075,4.857201576,0,0,0,0
Admiralengracht,52.37089463,4.856360043,0,0,0,0
Cafe Sportpark,52.3746373,4.857738548,0,0,0,0
Blauwwithal,52.37581532,4.856504202,0,0,0,0
Volleybalvereniging Amsterdam,52.37595562,4.856799698,0,0,0,0
Inside Out Project,52.368787,4.855637,0,0,0,0
Caffe Oslo,52.357791,4.85429448,0,0,0,0
David Lloyd Swimming Pool Area,52.35764124,4.85595732,0,0,0,0
De Doofpot,52.35406888,4.855717033,0,0,0,0
Figuranten Bar,52.360592,4.859360978,0,0,0,0
